Direccion,Latitud,Longitud,acumulado
405,calle 19 7 34,11.0362412,-74.8681329,1
406,calle 19 8,10.9437542,-74.7769227,11
407,calle 19 8 9,10.9437542,-74.7769227,1
408,calle 19 9,10.9437542,-74.7769227,2
409,calle 20 30,10.9378673,-74.7802554,1
410,calle 21 14,10.9619115,-74.7771547,1
411,calle 21 14 40,10.9619115,-74.7771547,1
412,calle 21 15,10.9619115,-74.7771547,1
413,calle 21 20,10.9619115,-74.7771547,1
414,calle 21 25,10.9619115,-74.7771547,1
415,calle 22 12,10.9620108,-74.7779777,1
416,calle 23 11,10.9438611,-74.7783333,1
417,calle 23 15,10.9438611,-74.7783333,1
418,calle 23 4,10.9438611,-74.7783333,1
419,calle 23 4 34,10.9438611,-74.7783333,1
420,calle 23 5,10.9438611,-74.7783333,1
421,calle 23 6,10.9584529,-74.7784929,1
422,calle 24 10,10.9637654,-74.7790356,2
423,calle 24 11,10.9637654,-74.7790356,1
424,calle 24 12,10.9637654,-74.7790356,3
425,calle 24 12 13,10.9637654,-74.7790356,1
426,calle 24 13,10.9637654,-74.7790356,2
427,calle 24 14,10.9637654,-74.7790356,1
428,calle 24 14 38,10.9637654,-74.7790356,1
429,calle 24 15,10.9637654,-74.7790356,1
430,calle 24 17,10.9637654,-74.7790356,1
431,calle 24 23,10.9637654,-74.7790356,6
432,calle 24 24,10.9637654,-74.7790356,1
433,calle 24 26,10.9637654,-74.7790356,1
434,calle 24 28,10.9637654,-74.7790356,1
435,calle 24 7,10.9637654,-74.7790356,1
436,calle 25,10.9622891,-74.7799896,1
437,calle 26 10,10.9506831,-74.7797756,1
438,calle 26 12,10.9506831,-74.7797756,2
439,calle 26 17 18,10.9506831,-74.7797756,1
440,calle 26 18,10.9506831,-74.7797756,1
441,calle 26 19,10.9506831,-74.7797756,2
442,calle 26 20,10.9506831,-74.7797756,3
443,calle 26 38,10.9506831,-74.7797756,1
444,calle 26 51,10.9506831,-74.7797756,1
445,calle 26 6,10.9506831,-74.7797756,1
446,calle 26 9,10.9506831,-74.7797756,1
447,calle 27 10,10.9523777,-74.7817079,1
448,calle 27 14 34,10.9523777,-74.7817079,1
449,calle 27 15,10.9523777,-74.7817079,1
450,calle 27 194 29,10.9523777,-74.7817079,1
451,calle 27 21,10.9523777,-74.7817079,1
452,calle 27 4,10.9523777,-74.7817079,1
453,calle 27 4 189,10.9523777,-74.7817079,1
454,calle 27 9,10.9523777,-74.7817079,1
455,calle 28 38,10.9633604,-74.781447,1
456,calle 29 21,10.9590085,-74.7850748,2
457,calle 29 22 26,10.9590085,-74.7850748,1
458,calle 29 23,10.9590085,-74.7850748,1
459,calle 29 30,10.951486,-74.7843148,1
460,calle 29 32,10.9590085,-74.7850748,1
461,calle 29 33,10.9590085,-74.7850748,1
462,calle 29 33 171,10.9785,-74.7753234,1
463,calle 29 36,10.9590085,-74.7850748,1
464,calle 30,10.9810232,-74.7762661,1
465,calle 30 ,10.9810232,-74.7762661,1
466,calle 30 06,10.9895769,-74.778251,1
467,calle 30 1,10.9895769,-74.778251,19
468,calle 30 1 1,10.9895769,-74.778251,1
469,calle 30 1 165,10.9895769,-74.778251,1
470,calle 30 1 2,10.9895769,-74.778251,1
471,calle 30 1 295,10.9895769,-74.778251,1
472,calle 30 10,10.9895769,-74.778251,8
473,calle 30 10 134,10.9895769,-74.778251,2
474,calle 30 10 234,10.9895769,-74.778251,1
475,calle 30 10 68,10.9895769,-74.778251,1
476,calle 30 11,10.9895769,-74.778251,4
477,calle 30 11 187,10.9895769,-74.778251,1
478,calle 30 12,10.9895769,-74.778251,1
479,calle 30 13,10.9895769,-74.778251,5
480,calle 30 13 51,10.9895769,-74.778251,1
481,calle 30 14,10.9895769,-74.778251,15
482,calle 30 14 13,10.9895769,-74.778251,1
483,calle 30 15,10.9895769,-74.778251,18
484,calle 30 15 276,10.9895769,-74.778251,2
485,calle 30 15 360,10.9895769,-74.778251,1
486,calle 30 16,10.9895769,-74.778251,1
487,calle 30 17,10.9895769,-74.778251,2
488,calle 30 17 19,10.9895769,-74.778251,1
489,calle 30 18,10.9895769,-74.778251,4
490,calle 30 19,10.9895769,-74.778251,4
491,calle 30 19 ,10.9895769,-74.778251,1
492,calle 30 19 121,10.9895769,-74.778251,1
493,calle 30 1930,10.9895769,-74.778251,1
494,calle 30 2,10.9895769,-74.778251,13
495,calle 30 2 1,10.9895769,-74.778251,1
496,calle 30 2 147,10.9895769,-74.778251,2
497,calle 30 2 16,10.9895769,-74.778251,1
498,calle 30 2 2 130,10.9895769,-74.778251,1
499,calle 30 2 40,10.9895769,-74.778251,2
500,calle 30 20,10.9895769,-74.778251,15
501,calle 30 20 21,10.9895769,-74.778251,1
502,calle 30 2010,10.9895769,-74.778251,1
503,calle 30 21,10.9895769,-74.778251,22
504,calle 30 21 78,10.9895769,-74.778251,1
505,calle 30 21 96,10.9895769,-74.778251,1
506,calle 30 22,10.9895769,-74.778251,8
507,calle 30 22 23,10.9895769,-74.778251,1
508,calle 30 23,10.9895769,-74.778251,14
509,calle 30 24,10.9895769,-74.778251,5
510,calle 30 25,10.9895769,-74.778251,5
511,calle 30 25 26,10.9895769,-74.778251,1
512,calle 30 25 35,10.9895769,-74.778251,1
513,calle 30 26,10.9895769,-74.778251,6
514,calle 30 26 45,10.9895769,-74.778251,1
515,calle 30 27,10.9895769,-74.778251,10
516,calle 30 28,10.9895769,-74.778251,10
517,calle 30 28 29,10.9895769,-74.778251,1
518,calle 30 28 52,10.9895769,-74.778251,1
519,calle 30 29,10.9895769,-74.778251,4
520,calle 30 29 101,10.9895769,-74.778251,1
521,calle 30 3,10.9895769,-74.778251,5
522,calle 30 3 164,10.9895769,-74.778251,2
523,calle 30 3 42,10.9895769,-74.778251,1
524,calle 30 3 73,10.9895769,-74.778251,1
525,calle 30 30,10.9895769,-74.778251,10
